aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Copenhagen Business School,,Denmark,0,Copenhagen Business School,131327,=97,970,master_account,97.0,13,42.8,217,92.6,16,51.6,970,35.3,138,24.3,267,48 : 52,"17,003",25%,30.6,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/copenhagen-business-school
Syracuse University,,United States,0,Syracuse University,1020,=97,980,private,74.2,173,33.2,641,26.8,520,51.6,980,43.3,98,49.7,68,53 : 47,"20,277",20%,16.0,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography,Sociology",/world-university-rankings/syracuse-university
University of Bristol,,United Kingdom,11,University of Bristol,530,=99,990,master_account,70.6,208,36.3,352,74.4,97,51.0,990,40.8,109,42.0,93,53 : 47,"20,570",27%,13.2,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography,Sociology",/world-university-rankings/university-bristol
University of Sydney UniSyd,,Australia,11,University of Sydney,522,=99,1000,master_account,72.5,192,42.7,219,74.5,96,51.0,1000,45.3,85,35.4,128,58 : 42,"43,333",35%,20.5,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography,Sociology",/world-university-rankings/university-sydney
University of Arizona,,United States,0,University of Arizona,561,101–125,1010,public,88.9,51,39.1,275,24.0,555,48.1–50.8,1010,43.4,96,35.1,132,52 : 48,"39,264",9%,13.3,"Communication & Media Studies,Sociology,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-arizona
University of Bern,,Switzerland,0,University of Bern,576,101–125,1020,master_account,84.8,77,92.9,35,81.4,59,48.1–50.8,1020,31.2,167,28.8,196,56 : 44,"10,967",15%,16.7,"Geography,Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-bern
Cardiff University,,United Kingdom,0,Cardiff University,671,101–125,1030,master_account,83.2,96,37.5,305,52.1,247,48.1–50.8,1030,38.8,118,38.4,111,58 : 42,"24,245",26%,12.8,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/cardiff-university
University of East Anglia,,United Kingdom,6,University of East Anglia,609,101–125,1040,master_account,95.5,17,33.4,537,87.0,33,48.1–50.8,1040,24.1,221,27.8,208,61 : 39,"13,984",29%,13.6,"Communication & Media Studies,Sociology,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-east-anglia
George Washington University,,United States,0,George Washington University,600,101–125,1050,private,77.4,147,33.2,603,31.5,469,48.1–50.8,1050,40.1,114,44.2,88,58 : 42,"22,844",17%,13.2,"Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/george-washington-university
Ghent University,,Belgium,0,Ghent University,570,101–125,1060,master_account,76.8,152,55.8,124,47.4,299,48.1–50.8,1060,40.3,112,34.6,135,54 : 46,"35,835",10%,35.2,"Sociology,Geography,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/ghent-university
University of Glasgow,,United Kingdom,1,University of Glasgow,566,101–125,1070,master_account,69.8,216,33.2,604,72.3,105,48.1–50.8,1070,43.4,97,33.2,155,58 : 42,"24,235",36%,15.3,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography",/world-university-rankings/university-glasgow
Hebrew University of Jerusalem,,Israel,0,Hebrew University of Jerusalem,585,101–125,1080,master_account,67.9,234,38.2,292,43.2,341,48.1–50.8,1080,44.0,91,40.3,97,56 : 44,"16,492",5%,11.5,"Geography,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/hebrew-university-jerusalem
University of Leeds,,United Kingdom,0,University of Leeds,597,101–125,1090,master_account,76.0,158,36.7,337,67.9,131,48.1–50.8,1090,37.5,124,37.1,118,60 : 40,"28,677",28%,14.1,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Geography",/world-university-rankings/university-leeds
Loughborough University,,United Kingdom,0,Loughborough University,837,101–125,1100,master_account,78.9,132,33.3,558,78.8,75,48.1–50.8,1100,35.1,139,31.5,164,39 : 61,"14,225",24%,14.7,"Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/loughborough-university
Université Catholique de Louvain,,Belgium,0,Université Catholique de Louvain,633,101–125,1110,master_account,81.5,112,45.8,186,78.2,77,48.1–50.8,1110,35.8,136,28.4,201,54 : 46,"25,952",21%,39.6,"Geography,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/universite-catholique-de-louvain
Maastricht University,,Netherlands,6,Maastricht University,663,101–125,1120,master_account,73.0,189,46.9,175,98.8,4,48.1–50.8,1120,31.8,160,34.8,134,59 : 41,"16,250",52%,15.8,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/maastricht-university
University of Montreal,,Canada,11,University of Montreal,569,101–125,1130,master_account,68.9,226,33.7,506,85.0,46,48.1–50.8,1130,40.0,115,34.1,142,59 : 41,"37,311",23%,20.3,"Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-montreal
SOAS University of London,,United Kingdom,6,SOAS University of London,970,101–125,1140,master_account,42.4,472,33.2,631,74.8,91,48.1–50.8,1140,44.4,89,57.5,49,65 : 35,"4,965",54%,11.7,"Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/soas-university-london
University of St Andrews,,United Kingdom,0,University of St Andrews,549,101–125,1150,master_account,68.0,232,33.2,636,87.4,31,48.1–50.8,1150,34.9,142,39.4,104,58 : 42,"8,965",47%,12.7,"Sociology,Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-st-andrews
University of Surrey,,United Kingdom,11,University of Surrey,806,101–125,1160,master_account,94.3,23,35.4,389,79.4,68,48.1–50.8,1160,35.1,140,27.1,215,53 : 47,"11,987",40%,15.6,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-surrey
Technical University of Berlin,,Germany,0,Technical University of Berlin,1022,101–125,1170,master_account,77.9,142,57.7,110,64.4,157,48.1–50.8,1170,43.0,99,31.0,170,34 : 66,"22,472",22%,64.4,"Communication & Media Studies,Sociology",/world-university-rankings/technical-university-berlin
Tilburg University,,Netherlands,11,Tilburg University,734,101–125,1180,master_account,87.4,59,71.5,73,70.1,118,48.1–50.8,1180,36.7,131,26.3,230,48 : 52,"7,666",14%,21.2,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/tilburg-university
Trinity College Dublin,,Ireland,0,Trinity College Dublin,582,101–125,1190,master_account,59.4,314,54.6,129,85.2,44,48.1–50.8,1190,41.1,107,41.1,95,59 : 41,"16,293",28%,21.6,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/trinity-college-dublin
University of Tübingen,,Germany,0,University of Tübingen,652,101–125,1200,master_account,95.4,19,48.0,169,55.1,218,48.1–50.8,1200,35.5,137,26.6,221,58 : 42,"28,743",14%,39.2,"Communication & Media Studies,Geography,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-tubingen
UNSW Sydney unsw australia unsw,,Australia,6,UNSW Sydney,638,101–125,1210,master_account,71.5,201,85.9,54,81.1,63,48.1–50.8,1210,42.4,103,31.4,165,47 : 53,"41,358",36%,30.5,"Politics & International Studies (incl Development Studies),Geography,Sociology,Communication & Media Studies",/world-university-rankings/unsw-sydney
University of Vienna,,Austria,0,University of Vienna,603,101–125,1220,master_account,58.7,320,41.8,227,89.3,25,48.1–50.8,1220,43.0,101,38.3,113,66 : 34,"33,185",27%,19.3,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/university-vienna
Vrije Universiteit Amsterdam,,Netherlands,0,Vrije Universiteit Amsterdam,625,101–125,1230,master_account,86.8,64,41.1,243,51.1,260,48.1–50.8,1230,38.6,119,29.1,191,57 : 43,"23,919",8%,17.8,"Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Geography",/world-university-rankings/vrije-universiteit-amsterdam
Washington University in St Louis,,United States,11,Washington University in St Louis,505,101–125,1240,private,73.2,184,33.9,491,33.6,450,48.1–50.8,1240,41.3,106,48.4,73,,"13,074",20%,7.3,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/washington-university-st-louis
Zhejiang University ZJU Zhejiang University China research,,China,11,Zhejiang University,815,101–125,1250,master_account,60.4,302,99.8,13,90.4,23,48.1–50.8,1250,40.8,110,36.3,125,21 : 79,"36,031",18%,10.9,"Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/zhejiang-university
University of Aberdeen,,United Kingdom,0,University of Aberdeen,615,126–150,1260,master_account,89.6,49,37.3,314,86.4,38,45.0–47.9,1260,31.2,166,18.2,399,55 : 45,"12,211",38%,15.1,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-aberdeen
University of Antwerp,,Belgium,0,University of Antwerp,742,126–150,1270,master_account,75.6,162,85.6,55,59.4,190,45.0–47.9,1270,31.8,159,33.7,146,54 : 46,"15,096",16%,29.6,"Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-antwerp
Autonomous University of Barcelona uab,,Spain,6,Autonomous University of Barcelona,666,126–150,1280,master_account,68.9,225,42.2,226,65.0,150,45.0–47.9,1280,29.1,182,45.8,79,59 : 41,"32,223",16%,12.8,"Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/autonomous-university-barcelona
University of Birmingham,,United Kingdom,11,University of Birmingham,612,126–150,1290,master_account,76.7,153,61.3,100,60.9,183,45.0–47.9,1290,38.9,116,26.9,216,56 : 44,"28,354",28%,15.1,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-birmingham
Boston University,,United States,0,Boston University,518,126–150,1300,private,81.0,119,33.4,533,41.3,366,45.0–47.9,1300,36.1,134,29.5,188,60 : 40,"25,095",27%,8.4,"Sociology,Geography,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/boston-university
"University of California, Santa Cruz",,United States,0,"University of California, Santa Cruz",574,126–150,1310,public,83.4,93,38.0,294,20.8,600,45.0–47.9,1310,32.5,154,34.2,140,52 : 48,"17,868",5%,23.1,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-california-santa-cruz
City University of Hong Kong CityU HK,,Hong Kong,11,City University of Hong Kong,657,126–150,1320,master_account,55.0,350,57.3,113,98.7,6,45.0–47.9,1320,38.9,117,38.2,114,57 : 43,"9,928",41%,11.2,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/city-university-hong-kong
University of Colorado Boulder,,United States,0,University of Colorado Boulder,541,126–150,1330,public,88.5,52,33.7,502,27.5,510,45.0–47.9,1330,33.3,150,35.2,130,44 : 56,"31,625",12%,15.5,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/university-colorado-boulder
Dartmouth College,,United States,0,Dartmouth College,554,126–150,1340,private,91.1,39,33.3,552,22.1,582,45.0–47.9,1340,17.2,342,52.6,59,48 : 52,"6,172",15%,6.7,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/dartmouth-college
École des Ponts ParisTech,,France,0,École des Ponts ParisTech,131595,126–150,1350,master_account,91.8,32,99.0,22,81.1,61,45.0–47.9,1350,22.9,241,25.8,244,31 : 69,"1,943",47%,13.4,Sociology,/world-university-rankings/ecole-des-ponts-paristech
Emory University,,United States,0,Emory University,539,126–150,1360,private,78.0,139,33.2,597,38.4,392,45.0–47.9,1360,30.0,174,39.1,105,58 : 42,"12,647",20%,4.2,"Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/emory-university
Fudan University,,China,0,Fudan University,700,126–150,1370,master_account,59.5,310,36.9,330,68.7,125,45.0–47.9,1370,36.7,130,44.4,87,51 : 49,"34,393",11%,12.2,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/fudan-university
